rotation in degrees,displacement in mm,Force in MilliNewtons,Fit spring constant in Newtons per Meter,Raw spring constant in Newtons per Meter,Spring Potential Energy in Joules,Fit Torque in Nmm
49.0536,20.6774,5820.47733846154,1127.75493016549,1131.13801906609,NaN,-4.70719999999998
49.0536,25.7961,8416.48699692309,1495.17059412771,1622.63984185896,NaN,1.41673846153848
49.0536,30.916,11068.74209,1707.93888862083,1900.15413909957,NaN,6.74483076923076
49.0536,36.0323,13959.6014753846,1410.66991919741,1747.7843659245,NaN,11.4662076923077
49.0536,41.1487,16864.0664184615,647.688554417057,1216.64850637816,NaN,15.7585307692308
49.0536,46.2659,20125.1050515385,995.516800926204,1583.03167741936,NaN,19.4295615384615
49.0536,51.3856,23456.4251523077,609.597776356389,1209.55049265061,NaN,22.5040923076923
39.0627,0.2346,-2819.43090076923,-618.086334798519,-393.160533548909,NaN,-30.0564692307692
39.0627,5.3219,-839.106342307693,-84.1193388408994,-138.422401549387,NaN,-21.5502615384615
39.0627,10.44,1382.58386615385,182.643718761956,198.546965784377,NaN,-14.2912461538462
39.0627,15.5581,3694.21573769231,730.855224916069,706.569893514036,NaN,-7.53246923076922
39.0627,20.6768,6231.66175923076,1312.20934261992,1227.92498385013,NaN,-1.63132307692309
39.0627,25.793,8628.22033769231,1414.52948772735,1446.72562530256,NaN,3.8121076923077
39.0627,30.9096,11365.92146,1511.09794231732,1703.21584637728,NaN,8.70403846153844
39.0627,36.0297,14208.5945430769,1403.45003933952,1689.22389866064,NaN,13.0036384615385
39.0627,41.145,17136.2759523077,1173.15703445735,1540.41812015504,NaN,16.7410461538462
39.0627,46.2599,20267.9962746154,1239.99481654734,1688.86519845112,NaN,20.0569076923077
39.0627,51.3792,23635.5809430769,802.819484279078,1325.36546599902,NaN,22.9701461538462
29.0718,0.2348,-2662.74771384615,-323.884863848828,-292.083017952451,NaN,-24.9467076923077
29.0718,5.3239,-653.268563076923,-159.366746606951,-217.276081342802,NaN,-17.1325615384615
29.0718,10.4414,1757.46189692308,365.933526513937,302.801033091202,NaN,-10.5118076923077
29.0718,15.5586,3875.02439153846,464.921580294001,481.736683336023,NaN,-4.46689230769231
29.0718,20.6749,6466.38177,1084.35798636238,1048.46938610662,NaN,1.04400769230769
29.0718,25.7926,8900.97126538463,1335.76246634308,1371.68437953849,NaN,5.92507692307693
29.0718,30.9081,11529.4383861538,1293.84817058571,1412.35980313055,NaN,10.3895076923077
29.0718,36.0237,14312.7665869231,1392.24495694025,1541.97042594384,NaN,14.28
29.0718,41.1414,17178.7641961538,1077.31762900182,1387.46674741602,NaN,17.6547615384615
29.0718,46.2615,20280.4377623077,1011.34286299752,1441.51434102274,NaN,20.6251769230769
29.0718,51.3788,23734.6068153846,1033.18932807898,1474.0230533118,NaN,23.2413230769231
19.0809,0.2345,-2358.72798846154,88.0377839415918,241.772941937571,NaN,-20.2728384615385
19.0809,5.3237,-308.094407692308,-237.318034781201,-201.241817301485,NaN,-13.1327769230769
19.0809,10.4415,1980.07238692308,277.375957979253,243.044964493221,NaN,-6.97246153846154
19.0809,15.5608,4294.52327615384,353.97610526546,369.178870967742,NaN,-1.50376923076923
19.0809,20.6807,6767.16239692307,1079.40087705604,1085.52891293814,NaN,3.53166923076923
19.0809,25.7996,9150.29092923077,1100.40768091823,1163.31648919006,NaN,8.01705384615384
19.0809,30.916,11740.1300576923,1195.9699220658,1320.67121652146,NaN,12.0012307692308
19.0809,36.0312,14389.1057961539,1246.96019829794,1429.58195901242,NaN,15.5304615384616
19.0809,41.1458,17210.7413361539,981.727215530753,1240.75908283547,NaN,18.5934076923077
