,x_deg,x_moteus_deg,y,l,mode,u_ff,t_s
33,-22.40295410156251,-82.4029541015625,0.16465467312350768,0.1353453268764923,2,0.8895279800314395,3925.034441844
34,-21.6064453125,-81.6064453125,0.16358084483102225,0.13641915516897773,2,0.8825293068158446,3925.035669744
35,-20.771484375,-80.771484375,0.16245498757436855,0.13754501242563144,2,0.8749367062806702,3925.03695368
36,-19.931030273437496,-79.9310302734375,0.16132189751004522,0.13867810248995477,2,0.8664220989428086,3925.038205117
37,-19.090576171875007,-79.090576171875,0.16018935592289862,0.13981064407710136,2,0.857148037059779,3925.039451017
38,-18.239135742187496,-78.2391357421875,0.1590429488012748,0.14095705119872518,2,0.8474989608483121,3925.040686824
39,-17.360229492187507,-77.3602294921875,0.15786095434184136,0.14213904565815863,2,0.837036757693574,3925.041951779
40,-16.486816406250007,-76.48681640625,0.156688154763214,0.143311845236786,2,0.8260132080955109,3925.043166957
41,-15.640869140625002,-75.640869140625,0.1555543323311861,0.1444456676688139,2,0.8149142177103701,3925.044441041
42,-14.739990234375009,-74.739990234375,0.15434956114076348,0.1456504388592365,2,0.8022098333335892,3925.045666812
43,-13.866577148437509,-73.8665771484375,0.15318455132193554,0.14681544867806445,2,0.789543416876999,3925.046914415
44,-12.993164062500009,-72.9931640625,0.15202291196670684,0.14797708803329315,2,0.7765105137728292,3925.048162481
45,-12.081298828125009,-72.081298828125,0.15081413474520985,0.14918586525479013,2,0.7624610064945134,3925.049451251
46,-11.191406249999998,-71.19140625,0.14963882379601487,0.15036117620398512,2,0.7475137623216473,3925.050654299
47,-10.323486328125002,-70.323486328125,0.14849703029712963,0.15150296970287036,2,0.7326611843698201,3925.05190231
48,-9.444580078124998,-69.444580078125,0.14734566842983707,0.15265433157016292,2,0.7169919805059537,3925.053173561
49,-8.58764648437501,-68.587646484375,0.14622815916276535,0.15377184083723464,2,0.7009068369881836,3925.054398443
50,-7.73071289062501,-67.730712890625,0.14511597713681348,0.1548840228631865,2,0.6848779709218198,3925.055631324
51,-6.8243408203125,-66.8243408203125,0.14394577445989054,0.15605422554010945,2,0.6676534671217611,3925.056980667
52,-5.912475585937499,-65.9124755859375,0.14277521093256587,0.15722478906743412,2,0.6489606664719937,3925.058216141
53,-5.07202148437501,-65.072021484375,0.14170260479381577,0.15829739520618422,2,0.6309070197775006,3925.059444208
54,-4.204101562500001,-64.2041015625,0.14060157223552325,0.15939842776447674,2,0.6132395200725517,3925.060720126
55,-3.3306884765625013,-63.3306884765625,0.13950065899308683,0.16049934100691315,2,0.5938822577366536,3925.061946711
56,-2.4957275390625027,-62.4957275390625,0.13845512574542,0.16154487425458,2,0.5749997311648958,3925.063148629
57,-1.68823242187501,-61.688232421875,0.1374506447307461,0.16254935526925388,2,0.556125830118215,3925.064398307
58,-0.8038330078125029,-60.8038330078125,0.13635826781492388,0.1636417321850761,2,0.535491823642283,3925.065638132
59,0.014648437499997299,-59.9853515625,0.13535477554238987,0.16464522445761012,2,0.5153572709548795,3925.066881365
60,0.8386230468750012,-59.161376953125,0.134352012963865,0.16564798703613498,2,0.49519406912286434,3925.06812995
61,1.7010498046874933,-58.2989501953125,0.13331069839765305,0.16668930160234693,2,0.47405899809846397,3925.069387516
62,2.530517578125001,-57.469482421875,0.1323173405581677,0.16768265944183228,2,0.4525601980593186,3925.070644323
63,3.3819580078124982,-56.6180419921875,0.13130619664300602,0.16869380335699397,2,0.43040453687130453,3925.071886538
64,4.227905273437498,-55.7720947265625,0.1303103282972143,0.16968967170278568,2,0.40880637784497237,3925.073151808
65,5.035400390624997,-54.964599609375,0.12936803770413793,0.17063196229586206,2,0.3861262889824073,3925.074367911
66,5.859374999999995,-54.140625,0.12841504942724663,0.17158495057275336,2,0.36367024470648146,3925.075634533
67,6.683349609374999,-53.316650390625,0.12747083762847689,0.1725291623715231,2,0.3406024895038743,3925.076902488
68,7.4798583984374964,-52.5201416015625,0.1265665842624289,0.1734334157375711,2,0.3175047629820198,3925.078116351
69,8.243408203124998,-51.756591796875,0.12570770046335952,0.17429229953664047,2,0.2948919190630164,3925.079358158
70,9.006958007812498,-50.9930419921875,0.12485671142678471,0.17514328857321526,2,0.2710311772467074,3925.080617595
71,9.770507812499993,-50.2294921875,0.1240137207137328,0.1759862792862672,2,0.24721487114558538,3925.081850161
72,10.495605468749993,-49.50439453125,0.12322067650224136,0.17677932349775863,2,0.22323116544091903,3925.08308695
73,11.198730468749996,-48.80126953125,0.1224587123962773,0.17754128760372268,2,0.2001165135900696,3925.084340646
74,11.896362304687496,-48.1036376953125,0.12170962864737786,0.17829037135262213,2,0.1757123777711999,3925.085589342
